WBS,Task Name,link,begin,end,Predecessors,is soft pred.1,is soft pred.2,Details,Start,Finish,Duration,% Complete,Status,Assigned To,Comments
4.3.4,Probability,,,,,,,,,,,,,,
4.3.4.1,Introduction to Probability,,,,"253, 6",,,p=n(A)/n,,,1,,,,
4.3.4.2,Independence of events,,,,250,,,p(AB)=p(A)p(B),,,1,,,,
4.4.,Sets,,,,,,,,,,,,,,
4.4.1,Introduction to set,,,,,,,"what is set and what is not, elements of set, size of a set, subset and superset, universal set, exclusive sets, overlapping sets, partition (briefly)",,,,,,,
4.4.2,Union,,,,"253, 4",,,"union of two sets, formula for number of elements in union",,,1,,,,
4.4.3,Intersection,,,,"253, 4",,,"Intersection of sets,",,,1,,,,
4.4.4,Set Word Problem (Venn Diagram),,,,"253, 4",,,basic logic to set notations conversion,,,1,,,,
4.4.5,Inclusion Exclusion ?,,,,"254, 255",,,,,,1,,,,
5.,Cognitive Tags,,,,,,,,,,,,,,
5.1,"used ""choose"" but means permutation",,,,79,,,"The words which generally are associated with combination (like choose, make a group etc) are used, but the problem is of permutation, not combination",,,1,,,,
5.2,clubbing more than one variables together and treating them as a single variable and solve,,,,,,,,,,,,,,
,Back Calculation,,,,,,,,,,,,,,
,Answer can be obtained without explicitly solving equations,,,,,,,,,,,,,,
,Solution is integer,,,,,,,,,,,,,,
,Guestimate,,,,,,,,,,,,,,
,optimisation,,,,,,,,,,,,,,
,Solution is not integer,,,,,,,,,,,,,,
,"when ""x is positive"" is mentioned, omit negative or 0 solution",,,,,,,,,,,,,,
,Finding complement of the answer instead of solving directly,,,,,,,,,,,,,,
,Negative Question,,,,,,,Complementof the obvious is the answer,,,,,,,
,Redundant Informations,,,,,,,,,,,,,,
,anything product 0 is 0,,,,,,,,,,,,,,
,Corrections to AM,,,,,,,"Instead of re computing the whole thing, find how the changes effect the AM",,,,,,,
,different units,,,,,,,,,,,,,,
,Decomposition of geometric figures into well known ones,,,,,,,,,,,,,,
,sum is symmetric,,,,,,,,,,,,,,
,Shaded region doesn't always ask for area,,,,,,,,,,,,,,
,plug in,,,,,,,,,,,,,,
